city_key,customer_city,customer_state,macro_region,lon,lat,n_orders,mean_actual_delivery_days
aragoiania|GO,aragoiania,GO,Central-West,-49.449646758042114,-16.91149351887813,1,16.060289351851853
araguacu|TO,araguacu,TO,North,-49.8261687885849,-12.927125883738075,1,12.398148148148149
araguaia|ES,araguaia,ES,Southeast,-40.77055999999993,-20.491939999999943,1,8.381840277777778
araguaina|TO,araguaina,TO,North,-48.20601353544688,-7.194696801322727,38,22.052915752923976
araguana|MA,araguana,MA,Northeast,-45.665426191686805,-2.950509666553277,1,16.03162037037037
araguapaz|GO,araguapaz,GO,Central-West,-50.63171775779154,-15.093327870335289,2,20.11346064814815
araguari|MG,araguari,MG,Southeast,-48.19241119054979,-18.65158486656263,54,10.907312028463648
araguatins|TO,araguatins,TO,North,-48.12299337627995,-5.650404996590558,5,17.88512962962963
aramari|BA,aramari,BA,Northeast,-38.49805564143565,-12.089815976057595,2,73.66099537037037
arame|MA,arame,MA,Northeast,-46.008132415462185,-4.8880849653607115,1,24.819270833333334
aramina|SP,aramina,SP,Southeast,-47.79058860768849,-20.08891588347843,1,25.745289351851852
arandu|SP,arandu,SP,Southeast,-49.054808553069606,-23.13551389625285,3,8.721261574074074
arantina|MG,arantina,MG,Southeast,-44.254998839881296,-21.916026,1,8.5090625
arapei|SP,arapei,SP,Southeast,-44.448341260399026,-22.67354353633415,2,10.59259837962963
arapiraca|AL,arapiraca,AL,Northeast,-36.6566876401625,-9.748434275324673,29,24.41190453384419
arapoema|TO,arapoema,TO,North,-49.06479056878318,-7.656641320837519,1,9.51912037037037
arapongas|PR,arapongas,PR,South,-51.434450797213664,-23.409504244050773,32,14.629747178819445
araponga|MG,araponga,MG,Southeast,-42.52136695484127,-20.667540422641018,2,11.34337962962963
arapora|MG,arapora,MG,Southeast,-49.185566103395885,-18.433765135563846,5,11.427979166666667
arapoti|PR,arapoti,PR,South,-49.82196537010345,-24.145393018791605,9,12.886432613168724
arapua|MG,arapua,MG,Southeast,-46.15378310209092,-19.036174854554112,1,6.91318287037037
araputanga|MT,araputanga,MT,Central-West,-58.34793802780933,-15.470380907661236,4,17.108287037037037
araquari|SC,araquari,SC,South,-48.756934054286376,-26.40368935726154,11,16.215815446127944
ararangua|SC,ararangua,SC,South,-49.483661896676416,-28.944168940869055,18,13.805860982510287
araraquara|SP,araraquara,SP,Southeast,-48.180626245628716,-21.78163938153052,148,9.546060982857858
araras|SP,araras,SP,Southeast,-47.38206561948476,-22.355312427145233,91,9.650476317663818
arara|PB,arara,PB,Northeast,-35.76028383181898,-6.8277543910542455,1,17.075393518518517
ararica|RS,ararica,RS,South,-50.92755985329042,-29.616037902829603,2,13.989988425925926
araripe|CE,araripe,CE,Northeast,-40.137431688446924,-7.212014253324816,1,30.52752314814815
araripina|PE,araripina,PE,Northeast,-40.499682877266494,-7.577572307881221,11,19.81256418350168
arari|MA,arari,MA,Northeast,-44.77876789587211,-3.4522390005140133,2,18.381047453703705
araruama|RJ,araruama,RJ,Southeast,-42.329823876168525,-22.869815753171125,71,17.915967657798642
araruna|PB,araruna,PB,Northeast,-35.74254890533067,-6.5333286100129335,1,17.821099537037036
araruna|PR,araruna,PR,South,-52.49834909877985,-23.930539457426498,4,16.83514178240741
arataca|BA,arataca,BA,Northeast,-39.41119288559154,-15.26167609029374,1,14.952974537037036
aratiba|RS,aratiba,RS,South,-52.29929796642333,-27.393882870945355,1,9.278541666666667
aratuba|CE,aratuba,CE,Northeast,-39.0457316091922,-4.419649420399754,2,23.95570023148148
araucaria|PR,araucaria,PR,South,-49.389443889599306,-25.591427196215275,54,11.62882265946502
araujos|MG,araujos,MG,Southeast,-45.16597931546578,-19.945575011569403,5,14.987993055555556
araxa|MG,araxa,MG,Southeast,-46.937175010327024,-19.59431840486175,74,13.848898273273273
arceburgo|MG,arceburgo,MG,Southeast,-46.939673127890515,-21.363845680042424,7,13.868617724867724
arcos|MG,arcos,MG,Southeast,-45.54066538803468,-20.288396007311437,24,14.247193287037037
arcoverde|PE,arcoverde,PE,Northeast,-37.057637332438304,-8.419876999577607,5,22.195851851851852
areado|MG,areado,MG,Southeast,-46.14491870273575,-21.358791701184884,6,12.239328703703704
arealva|SP,arealva,SP,Southeast,-48.912126497786495,-22.02850801095088,3,12.166894290123457
areal|RJ,areal,RJ,Southeast,-43.10113286213269,-22.2328588874177,7,8.58577876984127
areia branca dos assis|PR,areia branca dos assis,PR,South,-49.343943594543646,-22.673175857589307,3,33.21308641975308
areia branca|RN,areia branca,RN,Northeast,-37.132506425918386,-4.954413909154566,3,10.650466820987655
areial|PB,areial,PB,Northeast,-35.92389251828903,-7.048398320126326,1,33.08976851851852
areias|SP,areias,SP,Southeast,-44.69618352020369,-22.581241157406065,3,13.452881944444444
areia|PB,areia,PB,Northeast,-35.70328593350951,-6.9666820403891,2,29.27357060185185
